Area,year,population,crime rate,total cases
pool A,2001,213,20.8222224,44525
pool  B,2001,250,20.77804851,52082
pool  C,2001,264,27.09581151,71690
pool  D,2001,446,15.48791362,69159
pool A,2002,213,22.72182638,48587
pool  B,2002,250,23.01535307,57690
pool  C,2002,264,26.02278865,68851
pool  D,2002,446,10.1727682,45425
pool A,2003,213,23.23764696,49690
pool  B,2003,250,23.04607213,57767
pool  C,2003,264,25.93056689,68607
pool  D,2003,446,142.6234419,636864
pool A,2004,213,23.50420882,50260
pool  B,2004,250,23.34887422,58526
pool  C,2004,264,25.76766697,68176
pool  D,2004,446,14.73970848,65818
pool A,2005,213,23.76983538,50828
pool  B,2005,250,23.39874282,58651
pool  C,2005,264,15.36059249,40641
pool  D,2005,446,14.69581497,65622
pool A,2006,213,24.88518631,53213
pool  B,2006,250,24.17230443,60590
pool  C,2006,264,26.19627139,69310
pool  D,2006,446,14.96544652,66826
pool A,2007,213,25.54317322,54620
pool  B,2007,250,24.49026658,61387
pool  C,2007,264,27.21864787,72015
pool  D,2007,446,15.62586464,69775
pool A,2008,213,26.99476622,57724
pool  B,2008,250,25.10983398,62940
pool  C,2008,264,28.15825154,74501
pool  D,2008,446,16.41997881,73321
pool A,2009,213,27.39460901,58579
pool  B,2009,250,25.68711281,64387
pool  C,2009,264,28.57098172,75593
pool  D,2009,446,17.2190198,76889
pool A,2010,213,28.63575843,61233
pool  B,2010,250,26.04975722,65296
pool  C,2010,264,29.75512424,78726
pool  D,2010,446,17.33457618,77405
